"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"230","Johnny Gaudreau","CGY","L","82","1200.9666666667","26","46","37","9","72","75.00"
"616","Auston Matthews","TOR","C","73","1175.3833333333","38","28","16","12","66","75.00"
"613","Matthew Tkachuk","CGY","L","82","1181.7666666667","26","38","25","13","64","69.57"
"587","Kirill Kaprizov","MIN","L","81","1149.9166666667","25","37","26","11","62","83.78"
"560","Mitchell Marner","TOR","C, R","72","1054.9166666667","22","39","22","17","61","78.21"
"484","Michael Bunting","TOR","L","79","1095.05","21","37","22","15","58","65.91"
"516","Connor McDavid","EDM","C","80","1327.8166666667","22","36","24","12","58","79.45"
"96","Steven Stamkos","T.B","C","81","1072.1333333333","22","33","24","9","55","82.09"
"442","Leon Draisaitl","EDM","C","80","1284.7166666667","26","28","18","10","54","80.60"
"194","Vladimir Tarasenko","STL","R","75","976.56666666667","26","27","13","14","53","82.81"
"449","Kevin Fiala","MIN","L","82","1036.2","23","30","21","9","53","80.30"
"521","Timo Meier","S.J","R","77","1172.3166666667","20","33","18","15","53","82.81"
"754","Jason Robertson","DAL","L","74","1078.35","22","30","14","16","52","76.47"
"261","Jonathan Huberdeau","FLA","C, L","80","1009.15","17","33","19","14","50","76.92"
"392","Ryan Hartman","MIN","R","82","1119.8833333333","27","23","17","6","50","65.79"
"408","Nathan MacKinnon","COL","C","65","1034.0833333333","23","27","19","8","50","73.53"
"658","Jordan Kyrou","STL","C","74","1019.9666666667","22","28","22","6","50","83.33"
"667","Jesper Bratt","N.J","L","76","1033.1166666667","21","29","15","14","50","83.33"
"81","Patrick Kane","CHI","R","78","1298","15","34","23","11","49","75.38"
"377","Jake Guentzel","PIT","L","76","1156.8833333333","25","24","15","9","49","77.78"
"752","Robert Thomas","STL","C","72","1001.4166666667","12","37","24","13","49","69.01"
"17","Joe Pavelski","DAL","C","82","1162.4666666667","14","34","20","14","48","72.73"
"19","Alex Ovechkin","WSH","L","77","1128.55","24","24","14","10","48","73.85"
"107","Roman Josi","NSH","D","80","1570.5666666667","10","38","23","15","48","58.54"
"141","Nazem Kadri","COL","C","71","963.71666666667","16","32","22","10","48","80.00"
